Delta,	Optimal,	Random,	QLearning,	EDO,	QBEA
0.0,	250000.0,	44293.73333333333,	207793.93333333332,	44293.73333333333,	235055.93333333332
0.047619047619047616,	250000.0,	44293.73333333333,	207793.93333333332,	44293.73333333333,	234915.73333333334
0.09523809523809523,	250000.0,	44293.73333333333,	207793.93333333332,	55649.46666666667,	236694.2
0.14285714285714285,	250000.0,	44293.73333333333,	207793.93333333332,	56635.13333333333,	233721.33333333334
0.19047619047619047,	250000.0,	44293.73333333333,	207793.93333333332,	56592.066666666666,	234939.73333333334
0.23809523809523808,	250000.0,	44293.73333333333,	207793.93333333332,	56602.4,	234141.66666666666
0.2857142857142857,	250000.0,	44293.73333333333,	207793.93333333332,	56333.333333333336,	236009.46666666667
0.3333333333333333,	250000.0,	44293.73333333333,	207793.93333333332,	56333.066666666666,	233032.93333333332
0.38095238095238093,	250000.0,	44293.73333333333,	207793.93333333332,	56379.46666666667,	237569.73333333334
0.42857142857142855,	250000.0,	44293.73333333333,	207793.93333333332,	56557.26666666667,	237112.13333333333
0.47619047619047616,	250000.0,	44293.73333333333,	207793.93333333332,	56803.066666666666,	236199.13333333333
0.5238095238095238,	250000.0,	44293.73333333333,	207793.93333333332,	57057.46666666667,	237699.86666666667
0.5714285714285714,	250000.0,	44293.73333333333,	207793.93333333332,	57305.066666666666,	236597.13333333333
0.6190476190476191,	250000.0,	44293.73333333333,	207793.93333333332,	57503.2,	235069.06666666668
0.6666666666666666,	250000.0,	44293.73333333333,	207793.93333333332,	57717.86666666667,	236414.06666666668
0.7142857142857143,	250000.0,	44293.73333333333,	207793.93333333332,	57896.8,	237417.8
0.7619047619047619,	250000.0,	44293.73333333333,	207793.93333333332,	58009.066666666666,	234019.93333333332
0.8095238095238095,	250000.0,	44293.73333333333,	207793.93333333332,	58192.26666666667,	233347.46666666667
0.8571428571428571,	250000.0,	44293.73333333333,	207793.93333333332,	58306.8,	233250.46666666667
0.9047619047619048,	250000.0,	44293.73333333333,	207793.93333333332,	58420.8,	238843.66666666666
0.9523809523809523,	250000.0,	44293.73333333333,	207793.93333333332,	58528.0,	232725.33333333334
1.0,	250000.0,	44293.73333333333,	207793.93333333332,	60200.0,	235067.6
